judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
Tewas Tertimbun Masa Lalu (TTM);NDX A.K.A.;NDX AKA Full Album 2023 - 2024;https://open.spotify.com/track/1ohxeVZ0pg6PJThlvgUAVN;['dangdut koplo', 'javanese dangdut', 'lagu jawa'];Kowe tau ning uripku Tansah ono ning atiku Ra bakal luntur sak durunge Janur kuning melengkung  Opo kowe ra kelingan Mbiyen mlaku bebarengan? Ibarat langit karo rembulan Tresnoku ra bakal ilang, sayang  Duh, kowe cah bagus isih urip ono ning atiku Aku ra iso lilo lungomu ra bakal tak tompo Koyo gede ning ombak segoro ning laut kae Pesisir pasir putih sing tau dadi saksine  Nalikone isih urip madep mantep bebarengan Janji-janjimu palsumu saiki dadi kenangan Putih-putih rembulan, padang-padange lintang Tiada yang lain cintaku untukmu, sayang  Aku ra iso lali Udan grimis sing dadi saksi Durung sempet tak rabeni Janjimu wis tok mblenjani  Kowe tau ning uripku ...
Kelingan Mantan;NDX A.K.A.;NDX AKA Full Album 2023 - 2024;https://open.spotify.com/track/3w09eeWmgkLz5BISaqcpgm;['dangdut koplo', 'javanese dangdut', 'lagu jawa'];Dhik, kowe mbiyen janji karo aku Nglakoni tresna suci kanthi ikhlas tekan mati Ning nyatane ngapusi, cidra ati iki Netes eluhku, mili deres ning pipi  Dhik, kowe mbiyen janji karo aku (stop, ngapusi!) Nglakoni tresna suci kanthi ikhlas tekan mati (hore!) Ning nyatane ngapusi, cidra ati iki Netes eluhku, mili deres ning pipi  Pancen lara nek kelingan tentang masa lalu Bayangan memang tak seindah kenyataan di hidupku Kelingan awale kita ketemu di sana Berduaan, bermesraan, canda, dan tawa  ...
When We Were Young (The Logical Song);David Guetta;NDX AKA Full Album 2023 - 2024;https://open.spotify.com/track/1CcLA0eaauck34YEIrvAAq;['big room', 'dance pop', 'edm', 'pop', 'pop dance'];I miss the old days when the skies were blue I miss the long nights stayin' up with you I miss the summer 'cause we were in it together I miss my hometown, don't you miss it too? Drivin' to nowhere, nothin' else to do I miss the old days, I wish they lasted forever  Hometown, home, miss my hometown, do it My ho-hometown, home, miss my hometown, do it, do it Hometown, home, miss my hometown, do it My ho-hometown, home, miss my hometown, do it  My ho-hometown, home, miss my hometown, do it My ho-hometown, home, miss my hometown, do it, do it Hometown, home, miss my hometown, do it My ho-hometown, home, miss my ...
Kimcil Kepolen;NDX A.K.A.;NDX AKA Full Album 2023 - 2024;https://open.spotify.com/track/1D6XeGykrjmBAYwDS3yXxZ;['dangdut koplo', 'javanese dangdut', 'lagu jawa'];Pancene kowe pabu, nuruti ibumu Jare nek ra Ninja, ra oleh dicinta Opo koyo ngene susahe wong kere? Ameh nyanding tresno, kalah karo bondo  'Ku ngerti sifatmu bedo karo awakku iki Ono opo kok kowe bedo karo aku iki? Opo aku salah nek aku tresno kowe? Po pendak dino atimu enenge gelisah? Mending aku ro kowe koreksi dewe-dewe Ojo waton tumindak nek kuwi ora becik Mergo saiki tresno enenge gor bondo Menang rupo, kalah dupo, aku ora popo  Pancene kowe pabu, nuruti ibumu Jare nek ra Ninja, ra oleh dicinta Opo koyo ngene susahe wong kere? ...
Apa Kabar Mantan;NDX A.K.A.;NDX AKA Full Album 2023 - 2024;https://open.spotify.com/track/36hZ4BvcFwJqpmQDO2vFq0;['dangdut koplo', 'javanese dangdut', 'lagu jawa'];Apa kabar wong sing tau tak sayang? Apa kabar wong sing tau tak gawe nyaman? Susah-seneng janjine bebarengan Ning akhire, kowe lunga ninggal kenangan  Atiku ra bakal serapuh kuwi Masalah percintaan, tak pikir keri Masa lalu ra perlu tak baleni Teka tenang, kabeh uwis tak gawe lali  Hei, apa kabar mantanku sing tau neng atiku? Kelingan ra karo aku sing tau ngisi atimu Mbiyen bubare merga kowe ana sing liyane Waton minggat ninggal lunga aku sing ana ning kene  Tangise ati iki merga kowe sing jalari Bahagiaku hancur ketika tresna iki dibagi Cerita cinta sing tak bangun nganti tiba tangi Terima kasih luka ini, sekian, ku pamit pergi  Apa kabar wong sing tau tak sayang? Apa kabar wong sing tau tak gawe nyaman? Susah-seneng janjine bebarengan ...
Remuk Ati;NDX A.K.A.;NDX AKA Full Album 2023 - 2024;https://open.spotify.com/track/0FLQ8JILn8ztPOTwBQbpfY;['dangdut koplo', 'javanese dangdut', 'lagu jawa'];Dek rungokno jerit tangise ati iki Greges ra karuan jebul sliramu mblenjani Dek rasakno loro atiku kepati-pati Yen kelingan janji tresnomu tekane mati  Kowe teko gowo tresno Kowe lungo ninggal loro Tresnomu tak labuh ning segoro  Roso sayangku uwes mati Ajur dadi remukan hati Ati ora bakal ngemis welase tresno  Aku iso gawe kowe loro Lorone jarem ning jero dodo Mergo ati wes ilang roso Luweh becik aku lungo  ...
Sayang;NDX A.K.A.;NDX AKA Full Album 2023 - 2024;https://open.spotify.com/track/18g4Om5seWSpkGik3DB1iP;['dangdut koplo', 'javanese dangdut', 'lagu jawa'];Sayang, apa kowe krungu jerite atiku Mengharap engkau kembali? Sayang, nganti memutih rambutku Ra bakal luntur tresnaku  Wis tak coba nglalekke jenengmu seka atiku Sak tenane ra ngapusi, iseh tresna sliramu Duh, pepuja ning ati, nanging kowe ora reti Kowe sing tak wanti-wanti, malah jebul saiki  Kowe mblenjani janji Jare sehidup-semati, nanging apa bukti? Kowe medhot tresnaku demi lanangan liya Ya wis, ora papa, insya Allah aku isa lila  Meh sambat kalih sinten yen sampun mekaten Merana uripku Aku welasna nimas, aku mesakna aku Aku nangis nganti metu eluh getih putih  Sayang, apa kowe krungu jerite atiku (apa kowe krungu?) Mengharap engkau kembali? ...
Bojoku Ketikung;NDX A.K.A.;NDX AKA Full Album 2023 - 2024;https://open.spotify.com/track/2a5MukUF8Wouw1K0EmLBAX;['dangdut koplo', 'javanese dangdut', 'lagu jawa'];Jangan opo? Jangan kangkung Tempe opo? Tempe koro  Ngopo kok bingung? Bojoku ditikung Popo po ora? Aku ra popo  Aku ra nyongko kowe tego karo konco Jarene konco kenthel Bojoku tok sleding tekel Opo ra ono kimcil liyo sing seneng kowe? Nganti kowe nikung bojone koncone dewe  He, kowe koncoku, sing jarene CSku Nanging nyatane ning mburi kok kowe koyo pabu Mbribik nikung nyiak bojone konco dewe Ora mikir koncone tumindak sak penake  Paitan cangkem lunyu kau merebut pacarku Tusuk dari belakang, ah, mana ku tau Seakan kau arjuna padahal engkau keju Ra ngango sopan santun kau dustai diriku  Sak tenane atiku loro Nanging aku mencoba rapopo ...
Nyekso Batin;NDX A.K.A.;NDX AKA Full Album 2023 - 2024;https://open.spotify.com/track/3v32eLQBcX5reST43QpYwo;['dangdut koplo', 'javanese dangdut', 'lagu jawa'];Kesel atiku sabar ngerteni Ngempet lara ning ati Tresna karo kowe, apa kudu larane? Nangis batin nganti kaya ngene  Wis, Dek, aku sing mundur Ketimbang tak teruske, tresnaku dadi tambah ajur Jalin cintane bubrah, rasa ati ra nggenah Aku pengene pisah, nanging sliramu wegah Wis aku ra kuat, aku tak sing minggat Tresna iki udu dolanan, lara atiku ra karuan  Tresna sing suci saikine tinggal janji ...
Sudah Cukup Sudah;NDX A.K.A.;NDX AKA Full Album 2023 - 2024;https://open.spotify.com/track/6rQHJ0bds0ybEOAlugEw6E;['dangdut koplo', 'javanese dangdut', 'lagu jawa'];Inikah caramu, membalas cintaku Kau nodai cinta yang ku beri Inikah caramu, membalas sayangku Kau lukai sayangku untukmu Teganya kau menari diatas tangisanku Kau permainkanku sesuka hatimu Sudah cukup, cukup sudah Cukup sampai disini saja Daripada hati gelisah Cintaku kau balas dengan dusta Sudah cukup, cukup sudah Daripada batin tersiksa Lebih baik ku pergi saja ...
