judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
Sampai Jadi Debu (Menampilkan Gardika Gigih);Banda Neira;Lagu indie full indo;https://open.spotify.com/track/0ROj512WvJ1eqeELd7MEdJ;['indonesian folk pop', 'indonesian indie', 'indonesian pop'];Badai Tuan telah berlalu Salahkah ku menuntut mesra? Tiap pagi menjelang Kau di sampingku Ku aman ada bersamamu  Selamanya Sampai kita tua ...
Yang Patah Tumbuh, Yang Hilang Berganti;Banda Neira;Lagu indie full indo;https://open.spotify.com/track/6Rd4ep779v8CjlFVhaHrNX;['indonesian folk pop', 'indonesian indie', 'indonesian pop'];Jatuh dan tersungkur di tanah aku Berselimut debu sekujur tubuhku Panas dan menyengat Rebah dan berkarat  Yang... Yang patah tumbuh, yang hilang berganti Yang hancur lebur akan terobati Yang sia-sia akan jadi makna Yang terus berulang suatu saat henti Yang pernah jatuh 'kan berdiri lagi Yang patah tumbuh, yang hilang berganti  ...
Runtuh;Feby Putri;Lagu indie full indo;https://open.spotify.com/track/6Hii26x3qDErVitnGW8QtO;['indonesian pop'];Ku terbangun lagi Di antara sepi Hanya pikiran yang ramai  Mengutuki diri Tak bisa kembali 'Tuk mengubah alur kisah  Ketika mereka meminta tawa Ternyata rela tak semudah kata  Tak perlu khawatir, ku hanya terluka Terbiasa 'tuk pura-pura tertawa ...
Langit Dan Laut;Banda Neira;Lagu indie full indo;https://open.spotify.com/track/6T614g5vrWPCybiDbTcuA4;['indonesian folk pop', 'indonesian indie', 'indonesian pop'];Dan dengarkan Ombak yang datang Menerjang kuatmu  Dan dengarkan Arus yang datang Nyatakan lemahmu  Langit dan laut ...
Hitam Putih;Fourtwnty;Lagu indie full indo;https://open.spotify.com/track/0O6g2QFUhuLqRzGqhyzrIu;['indonesian folk', 'indonesian indie', 'indonesian pop'];Bagai langit dan bumi Yang tak pernah sealam Bagai hitam dan putih Yang tak pernah sewarna  Hanya kita Yang merasakannya  Belajar melepaskan dirinya Walau setengahku bersamanya Ku yakin kita 'kan terbiasa Walau inti jiwa tak terima ...
Beranjak Dewasa;Nadin Amizah;Lagu indie full indo;https://open.spotify.com/track/3FPlY1uqTe1oFfIgI0BnoA;['indonesian pop'];Pada akhirnya ini semua  Hanyalah permulaan Pada akhirnya kami semua Berkawan dengan sebentar  Berbaring tersentak tertawa Tertawa dengan air mata Mengingat bodohnya dunia Dan kita yang masih saja Berusaha  Kita beranjak dewasa Jauh terburu seharusnya Bagai bintang yang jatuh Jauh terburu waktu Mati lebih cepat Mati lebih cepat  Kita beranjak dewasa Jauh terburu seharusnya ...
Resah;Payung Teduh;Lagu indie full indo;https://open.spotify.com/track/1k5vv2ood14aa5uBYWBlWh;['indonesian folk', 'indonesian indie', 'indonesian pop', 'indonesian singer-songwriter'];Pa-ra-ra-ra-ra Pa-ra-ra-ra-ra Pa-ra-ra-ra-ra Pa-ra-ra-ra-ra Pa-ra-ra-ra-ra Pa-ra-ra-ra-ra Oh-oh-oh  Aku ingin berjalan bersamamu Dalam hujan dan malam gelap Tapi aku tak bisa melihat matamu  Aku ingin berdua denganmu ...
Resah Jadi Luka;Daun Jatuh;Lagu indie full indo;https://open.spotify.com/track/2sULdMKWdBdK2ZtntuFvSb;['indonesian folk pop'];Ku menemukanmu saat ku terjebak Di situasi yang membuatku resah Kau merangkulku di saat yang lain menindasku Ingin rasanya aku selalu bersamamu  Tapi mengapa tiba-tiba seakan kau pergi? Melepas rangkulanmu dan berhenti melindungiku tanpa sebab Mungkin alam semesta tak menerimanya Dan waktu tak memberi kesempatannya ...
Lara;Dialog Senja;Lagu indie full indo;https://open.spotify.com/track/1sGsoXJgOZ3wY3tveCUwWs;['indonesian folk', 'indonesian indie'];Ketika senja datang Ku merasa setengah diriku menghilang Bagaikan tak berdosa Kau hancurkan rasa yang selama ini kutanam  Saat semuanya telah pergi Bayangmu kembali mengisi Entah apa yang kau mau Ku tak berhak lagi 'tuk mengungkit kembali  Menghapus tinta yang pernah kau lukis di kanvas hatiku Merobek semua bayangan yang tampak di relung sukmaku ...
Pelangi;Hivi!;Lagu indie full indo;https://open.spotify.com/track/3ZwqWrRpylU9nfy99qwKdR;['indonesian pop'];Ku ingin cinta hadir untuk s'lamanya Bukan hanyalah untuk sementara Menyapa dan hilang Terbit, tenggelam bagai pelangi  Yang indahnya hanya sesaat 'Tuk kulihat dia mewarnai hari  Tetaplah engkau di sini Jangan datang lalu kau pergi Jangan anggap hatiku Jadi tempat persinggahanmu Untuk cinta sesaat  (Ha-ya-ya-ah)  ...
