judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
Aku Bukan Pilihan Hatimu;Ungu;Ungu, Peterpan, SheilaO7, Repvblik, Five Minutes, Wali, Naff, D'Bagindas, St12, Armada, Letto, Radja;https://open.spotify.com/track/6ZQ5UsO10FVsglHGssVMCR;['dangdut', 'indonesian pop', 'indonesian pop rock'];Jika memang diriku Bukanlah menjadi pilihan hatimu Mungkin sudah takdirnya Kau dan aku takkan mesti bersatu  Harus s'lalu kau tahu Ku mencintamu di sepanjang waktuku Harus s'lalu kau tahu Semua abadi untuk s'lamanya  Karena ku yakin, cinta dalam hatiku ...
Karena Dia Kamu;Ungu;Ungu, Peterpan, SheilaO7, Repvblik, Five Minutes, Wali, Naff, D'Bagindas, St12, Armada, Letto, Radja;https://open.spotify.com/track/6C99NV10V8b7nxiWQrwP91;['dangdut', 'indonesian pop', 'indonesian pop rock'];Saat aku bertemu dengan dirinya Tak terasa hatiku kian terbawa Merona merah jadinya Karena tatap matanya  Setiap aku melihat dirinya Ingin rasa hatiku memilikinya Sungguh aku ingin dapat memilikinya  Karena dia cantik Karena dia indah Karena dia kamu  ...
Aku & Bintang;Peterpan;Ungu, Peterpan, SheilaO7, Repvblik, Five Minutes, Wali, Naff, D'Bagindas, St12, Armada, Letto, Radja;https://open.spotify.com/track/1V1hSmSVjmBqdR46EVVt5y;['dangdut koplo', 'indonesian pop', 'indonesian pop rock'];Lihat ke langit luas Dan semua musim terus berganti Tetap bermain awan Merangkai mimpi dengan khayalku Selalu bermimpi dengan hariku  Dan pernah kau lihat bintang Bersinar putih penuh harapan Tangan halusnya terbuka Coba temani dekati aku Selalu terangi gelap malamku  Dan rasakan semua bintang Memanggil tawamu terbang ke atas ...
Khayalan Tingkat Tinggi;Peterpan;Ungu, Peterpan, SheilaO7, Repvblik, Five Minutes, Wali, Naff, D'Bagindas, St12, Armada, Letto, Radja;https://open.spotify.com/track/1cFBgqTjNkdwLO5bcPhjyI;['dangdut koplo', 'indonesian pop', 'indonesian pop rock'];Awal ku melihat Ku yakin ini bukanlah yang biasa Mengagumkan Melemahkan aku melihat tatap matanya  Garis tawanya Waktu berhenti apabila ku memandangnya Mengagumkan Melemahkan aku melihat tatap matanya  Khayalan ini setinggi-tingginya ...
Di Belakangku;Peterpan;Ungu, Peterpan, SheilaO7, Repvblik, Five Minutes, Wali, Naff, D'Bagindas, St12, Armada, Letto, Radja;https://open.spotify.com/track/0VRKswWFQXVor9u7SxfA3U;['dangdut koplo', 'indonesian pop', 'indonesian pop rock'];Kau peluk aku Sebelum membunuhku Tersenyum melihatku Merenung melihatmu  Kau menungguku Menunggu kuterjatuh Setiap langkah tertuju Setia dalam renungku  Aku Menunggumu Menunggumu Menunggumu  Mati Di depanku Di depanku Di depanku Ho-oo ...
2 DSD;Peterpan;Ungu, Peterpan, SheilaO7, Repvblik, Five Minutes, Wali, Naff, D'Bagindas, St12, Armada, Letto, Radja;https://open.spotify.com/track/2b2RrYgs4ctH2QkJfGa9WO;['dangdut koplo', 'indonesian pop', 'indonesian pop rock'];Ku menatap langit yang tenang Dan takkan menangisi malam Tuk tetap berdiri ku melawan hari Ku akan berarti ku takkan mati  Mungkin masaku tlah berlalu Mungkin hatiku tak berbentuk lagi Rasa ini takkan terobati Tetapi mati takkan mengobati ...
Jauh Mimpiku;Peterpan;Ungu, Peterpan, SheilaO7, Repvblik, Five Minutes, Wali, Naff, D'Bagindas, St12, Armada, Letto, Radja;https://open.spotify.com/track/1VkxqkCSt1F3BWAJHDvO0L;['dangdut koplo', 'indonesian pop', 'indonesian pop rock'];Pernah kusimpan jauh rasa ini Berdua jalani cerita Kau ciptakan mimpiku Jujur ku hanya sesalkan diriku  Kau tinggalkan mimpiku Namun ku hanya sesalkan diriku Ah  ...
Sally Sendiri;Peterpan;Ungu, Peterpan, SheilaO7, Repvblik, Five Minutes, Wali, Naff, D'Bagindas, St12, Armada, Letto, Radja;https://open.spotify.com/track/1Aj0Y4is1R8cTlFRN4W9Jo;['dangdut koplo', 'indonesian pop', 'indonesian pop rock'];Biar Sally mencariku Biarkan dia terbang jauh Dalam hatinya hanya satu Jauh hatinya hanya 'ku  Katakan 'ku takkan datang Pastikan 'ku takkan kembali Lalu biarkan dia menangis Lalu biarkan dia pergi  Sally, kau selalu sendiri Sampai kapan pun sendiri Hingga kau lelah menanti Hingga kau lelah menangis  Sally, kau selalu sendiri ...
Bila Kau Tak Disampingku;Sheila On 7;Ungu, Peterpan, SheilaO7, Repvblik, Five Minutes, Wali, Naff, D'Bagindas, St12, Armada, Letto, Radja;https://open.spotify.com/track/3roANDwlWHrtoRFjn809K3;['indonesian alternative rock', 'indonesian pop'];Tak seharusnya kita terpisah Tak semestinya kita bertengkar Karena diriku masih butuh kau Maafkanlah sikapku, lupakanlah salahku itu  Terlalu bodoh untuk diriku Menahan berat jutaan rindu apalagi menahan egoku Maafkanlah sikapku, lupakanlah salahku Luapkan kepadaku, wo-oo-ho  Takkan kubiarkan kau menangis Takkan kubiarkan kau terkikis ...
Seberapa Pantas;Sheila On 7;Ungu, Peterpan, SheilaO7, Repvblik, Five Minutes, Wali, Naff, D'Bagindas, St12, Armada, Letto, Radja;https://open.spotify.com/track/1BaGfrlIWinaF77p7QASBH;['indonesian alternative rock', 'indonesian pop'];Seberapa pantaskah kau untuk kutunggu? Cukup indahkah dirimu untuk s'lalu kunantikan? Mampukah kau hadir dalam setiap mimpi burukku? Mampukah kita bertahan di saat kita jauh?  Seberapa hebatkah untuk kubanggakan? Cukup tangguhkah dirimu untuk s'lalu kuandalkan? Mampukah kau bertahan dengan hidupku yang malang? Sanggupkah kau meyakinkan di saat aku bimbang?  Celakanya, hanya kaulah yang benar-benar aku tunggu Hanya kaulah yang benar-benar memahamiku Kau pergi dan hilang, ke mana pun kau suka  Celakanya, hanya kaulah yang pantas untuk kubanggakan Hanya kaulah yang sanggup untuk aku andalkan ...
