judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
Hukum Rimba;Marjinal;Indonesian Punk;https://open.spotify.com/track/3jZX16Yv2QFTgs81LysOm2;['indonesian punk'];"Hukum adalah lembah hitam Tak mencerminkan keadilan Pengacara, juri, hakim, jaksa Masih ternilai dengan angka, uang  Hukum telah dikuasai Oleh orang-orang beruang Hukum adalah permainan 'Tuk menjaga kekuasaan  Maling-maling kecil dihakimi Maling-maling besar dilindungi Maling-maling kecil dihakimi Maling-maling besar dilindungi  Hukum adalah komoditas Barangnya para tersangka Ada uang, kau 'kan dimenangkan Tak ada uang, ya say, ""Good bye""  Di manakah adanya keadilan ..."
Cinta Pembodohan;Marjinal;Indonesian Punk;https://open.spotify.com/track/5ECzScjDchkdHWxSXRRDsy;['indonesian punk'];Dunia punya cerita Cerita tentang cinta Cinta, cinta, cinta ta Cinta  Pada stres Dan nggak sedikit yang gila mati (mampus) Minum racun serangga Gantung diri di pohon jengkol Nubrukin badan ke bis kota yang sedang mangkal Lompat melompat dari gedung bertingkat Karena cinta Demi cinta  Hei, kaw-kaw-kawan terlihat cemen (Aih, kita 'kan anak gaul lagi)  Dengernya pun lagu cengeng ...
Negri Ngeri;Marjinal;Indonesian Punk;https://open.spotify.com/track/2biOy0aubDhdyfPD9cipLt;['indonesian punk'];Lihatlah neg'ri kita (ho-oh) Yang subur dan kaya raya Sawah-ladang terhampar luas Samudra biru, yeah  Tapi rataplah neg'ri kita (ho-oh) Yang tinggal hanyalah cerita Derita dan derita Terus cerita (cerita terus)  Pengangguran merebak luas Kemiskinan merajalela Pedagang kaki lima tergusur Teraniaya  Bocah-bocah kecil merintih Melangsungkan mimpi di jalanan Buruh kerap dihadapi Penderitaan  Inilah neg'ri kita (ho-oh) Alamnya kelam, tiada berbintang Dari derita dan derita Menderita (derita terus)  Sampai kapankah derita ini? (Au-ah) Yang kaya darah dan air mata ...
Luka Kita;Marjinal;Indonesian Punk;https://open.spotify.com/track/7u0yu4v9zYILEuniBGBiaU;['indonesian punk'];Bencana dari neg'ri air mata (wo-oh-oh) Ratusan ribu jiwa pergi mendahului kita (wo-oh-oh) Bara luka kobarkan cita rasa bersama (wo-oh-oh) Bara luka jadikan satu pelita (ho-oh-oh-oh)  Saudaraku yang pergi tak hanya tinggalkan nama (ho-oh-oh-oh) Saudaraku yang pergi meninggalkan berjuta makna (ho-oh-oh-oh) Saudaraku yang pergi membangunkan seisi dunia Agar mengerti dalamnya makna hidup yang ada (wo-yeah)  Tunjukkan bahwa kita semua bersaudara Luka mereka, luka kita semua Tunjukkan, tunjukkan oleh kita ...
Ham;Marjinal;Indonesian Punk;https://open.spotify.com/track/3VaFJY8uEfPkcF6DSVewGz;['indonesian punk'];Tergerak dari jiwa Melalui pancaindra Ada tugas mulia Jadi tanggung jawab kita bersama  Buka mata hati kita semua 'Tuk hari esok yang lebih baik Kepalkan tangan, satukan jiwa 'Tuk menghancurkan angkara murka  Muliakan hak-hak manusia Mari junjung dan jaga bersama Mari kita ciptakan dunia Yang bebas dari penindasan Dan kebatilan  Hak, hak asasi manusia harus dihormati Hak, hak asasi manusia harus dilindungi ...
Marsinah;Marjinal;Indonesian Punk;https://open.spotify.com/track/09xgqIGpbOe3u0k6Fj0mJP;['indonesian punk'];Kulihat Buruh perempuan Berkeringat Membasahi bumi Yang gelap  Energi (energi) yang kau curahkan Begitu besar telah kurasakan Terhanyut dalam kesombongan Terlupakan  Gemerlap (gemerlap) cahayamu Membentangi garis kehidupan Ada darah rintih dicaci-maki Kau hadapi  Keringat dan ketegaranmu Mengalir deras tak ternilai Hanya tetes darah dan air mata Yang kau terima ...
Boikot;Marjinal;Indonesian Punk;https://open.spotify.com/track/4hkkXU4PzsMWwYS58jV71c;['indonesian punk'];Gilanya tradisi yang ada di dunia ini Siapa yang kuat dialah yang berkuasa Berlomba-lomba 'tuk menghindar menjadi mangsa Kita manusia tak kenal lagi manusia  Jilat-menjilat itu mah sudah biasa Tikam sana tikam sini dan siap memangsa Hei, hei, tai asu Yang menjadi serigala 'tuk manusia yang lainnya Manusia semakin gila  Yang kuat menguasai, yang lemah dikorupsi Yang kaya semakin kaya, yang miskin semakin miskin Yang pintar membodohi, yang bodoh dibudayakan  Yang kuat menguasai, yang lemah dikorupsi Yang kaya semakin kaya, yang miskin semakin miskin Yang pintar membodohi, yang bodoh dibudayakan  Boikot! Boikot! Budaya yang memiskinkan Boikot! Boikot! Budaya yang merusak Boikot! Boikot! ...
Partai Anarki;Rebellion Rose;Indonesian Punk;https://open.spotify.com/track/1lzhYIVEYCNXnfKMZTOrFw;['indonesian punk', 'yogyakarta indie'];Anarki Anarki Anarki Anarki  Selamat datang di negara korup Suram penuh masalah (Derita) Petinggi rakus, rakyat dibodohi Aparat dan birokrasi (Bencana)  Bak buk bak buk, gerak revolusi Tak gentar angkat senjata (Menyerang) Satu bumi, bendera anarki Goyahkan, dobrak istana (Merdeka)  Lawan Hancurkan Lawan  Rapatkan barisan Satukan suara penuh dendam Entah sampai kapan Tak lelah berhenti melawan  Pesta rakyat, berkedok janji palsu Penguasa media (Tertawa) Kemiskinan karena kau dimiskinkan ...
Guy Fawkes Day;Rebellion Rose;Indonesian Punk;https://open.spotify.com/track/2kHWIFkYsgIpT2eiogQBm5;['indonesian punk', 'yogyakarta indie'];Guy fawkes day, guy fought day Guy fawkes day, guy fought day  Remember, remember the Fifth of November The gunpowder treason and plot Remember, remember the Fifth of November There's no reason that day should ever be forgot  Can you see the light? (hooo-oo) Can you feel the hope? (hooo-oooo) I burn my bonfires and fireworks to remember ...
Punk!;Rebellion Rose;Indonesian Punk;https://open.spotify.com/track/6gdaFiK17JehZd1gT5FqrU;['indonesian punk', 'yogyakarta indie'];Keras hidup yang menerjang Tak pernah merubah jalan hidupku Panas pelukan mentari Tak menghentikan bulat tekadku Terus berlari, tak pernah peduli ancaman dari mereka  Tetap dan terus berdiri bersama, kawan (woi, woi, woi) Tanpa hiraukan segala bentuk perbedaan (wooo-oo-oo) Lawan dan hajar di depan yang terus menghadang (woi, woi, woi) Angkat gelas dan teriakkan ...
Sehat Selalu Sodaraku;Rebellion Rose;Indonesian Punk;https://open.spotify.com/track/2J4mjhS47Mzj01WauAYwVd;['indonesian punk', 'yogyakarta indie'];Berjumpa lagi, hei sodaraku Melepas rindu kita Bernyanyi lantang merdeka Sehat selalu, sodaraku  Malam Minggu di jalan Satu barisan ke depan Bergerak serentak Hari ini milik kita  Berdiri hadang truk yang melintas Atribut kebanggaan Tuak nomor dua Yang penting kita bersama  Bersama-sama berkumpul lagi Gila dan lepas kendali Angkat yang terjatuh Damai tanpa perusuh  Siapa itu bawa bendera Gagah dan mempesona Selamat berdansa Kita bakar suasana Dan bersiap  Jawa Timur, Tengah dan Barat ...
Aku Bencana;Rebellion Rose;Indonesian Punk;https://open.spotify.com/track/0KQ9hebCyEO9xwMFW5G5mN;['indonesian punk', 'yogyakarta indie'];OI!!! OI!!! OI!!!  Aku lahir di deras badai hujan Aku tumbuh di medan pertempuran (OI!) Ayah ibuku bulan dan bintang Rumah kami samudera hutang  Aku bencana bernafas ancaman Liku duniaku tak senyamannya dirimu Keluhku tak berguna, peluhku nyawa Kelak 'ku datang 'tuk rasakan derita  ...
Sindikat Pekerja Keras;Rebellion Rose;Indonesian Punk;https://open.spotify.com/track/203najuHBhSO5rlKkXLo2Z;['indonesian punk', 'yogyakarta indie'];Sindikat, sindikat, sindikat Sindikat pekerja keras Pergi pagi, pulang malam Rayakan dengan minuman  Sindikat, sindikat, sindikat Sindikat pekerja keras Pergi pagi, pulang malam Rayakan dengan minuman  Gagah tanpa celah Amunisi penuh dari rumah Langkah tak kenal lelah Berdoa 'tuk mantapkan arah  Bangun, siap dan bergegas Menerjang panas debu jalanan Maka lupakan kerasnya hingar bingar peristiwa Demi ia tercinta (oh-oh) ...
Barisan Juang;Rebellion Rose;Indonesian Punk;https://open.spotify.com/track/4yujffALQMckZvppZKSkmo;['indonesian punk', 'yogyakarta indie'];Jiwamu yang besar Liar dan tak gentar  Tak terlupa saat itu, hari-hari bersamamu Berdansa di arena cinta dan berbagi cerita Hangat kopi pagi itu, gelasku bagi denganmu Berandai-andai tentang cara satukan dunia  Selamat jalan, kawan, tenang kau di sana Salam kami untukmu Selamat jalan, kawan, tetaplah kau tenang Barisan juangmu memanjang  Jiwamu yang besar Liar dan tak gentar ...
Maju Menantang;Rebellion Rose;Indonesian Punk;https://open.spotify.com/track/1jiDGfl9SFeocHDhNr7dOX;['indonesian punk', 'yogyakarta indie'];Hajar tinju yang menghadang Maju dan menantang Abaikan isu menyesatkan Maju dan menantang  Ooo, laju ini tak henti Ooo, akan tetap berdiri  Matahari 'kan setia tebar panasnya Maju dan menantang Dingin malam mengusik menusuk Maju dan menantang  Ooo, laju ini tak henti Ooo, akan tetap berdiri  Hingga lelah raga ini akan tetap berdiri Walau berat aral di depan menghadang Maju tetap menantang Hingga lelah raga ini laju takkan terhenti Walau tajam liku di depan menghadang ...
Damai Bersamamu;Rebellion Rose;Indonesian Punk;https://open.spotify.com/track/0VbYymggowAhu3ZcSTdBCf;['indonesian punk', 'yogyakarta indie'];Setelah sekian lama Setelah semua luka yang terasa Setelah serbuan deras penderitaan Setelah lomba alih kuasa Janji palsu mereka mengudara Masih kau duduk nyaman  Setelah semua yang mereka lakukan sangat jauh dari harapan Masihkah kau percaya dengan lagu-lagu istana Setelah melancarkan penggusuran, alam kaya pun dijual Sampai kapan kau tetap duduk nyaman  Maju kau pejuang bersabar Karena kemenangan milik yang tak lelah berjuang Maju kau pejuang bersabar Cahaya di kepalan tegas benderang  Setelah berliku jalan kau tempuh Jangan lupa tempat berlabuh ...
Senjata Baru;SUPERIOTS;Indonesian Punk;https://open.spotify.com/track/0ecA25FigeALLc7EYinSLZ;['bogor indie', 'indonesian punk'];Kerasnya hidup terasa semakin keras Penindasan pun terasa lewati batas Sudut yang benar dibuat menjadi lemah Tidak berkutik dan tidak bisa bergerak  Ketika lagu dianggap senjata baru Kami kirimkan ribuan lagu untukmu Tentang semangat keringat dalam diriku Melangkah maju, melesat bagai peluru  Hancurkan, musnahkan yang menghancurkanmu Tikam tirani yang tak terhenti Genggam semangat hingga berarti ...
