judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
SANS TITRE;kobzx2z;KUMPULAN DJ JAWA TERBARU;https://open.spotify.com/track/5uA6PI56MMCAQQDDB4IwoE;['speed up turkce'];Encore une fois, je me retrouve tout seul Encore une fois, qui m'a détruit le cœur? J'sais pas pourquoi ça recommence assez J'suis peut-être bloqué dans une boucle infinie  Dans une boucle infinie, car J'me vois mourir sans toi J'ai des souvenirs de maman ...
Sareng;Arry Harmoko;DANGDUT KOPLO TERBARU 2024;https://open.spotify.com/track/0omEqXJvhl55UYvZElNxVu;['lagu jawa'];Maturnuwun wis gemati karo aku Maturnuwun wis nompo kekuranganku Ra bakal ono sing ngalahke sliramu Ning atiku Mung ono siji tresnoku  Trimo ngalah timbang nambahi masalah Kudu nrimo tetep tresno tekan tuo Madep mantep atiku Milih sliramu Kanggo konco uripku  Janji sehidup semati Tak akan ke lain hati ...
Centang Biru;Arry Harmoko;DANGDUT KOPLO TERBARU 2024;https://open.spotify.com/track/5xuL74G1vQhSGn7WC3L3QL;['lagu jawa'];Opo kowe ra ngroso Saiki kowe bedo Lali karo janjimu Sing setyo karo aku Aku cen wong sepele Ora level e kowe Kowe centang biru Followersku ora ono sewu  Kowe kakean endorse Aku iseh urip ngekost Kowe uwis panen duit Aku iseh mobat mabit ...
Ikhlas Ngenteni;Woro Widowati;DANGDUT KOPLO TERBARU 2024;https://open.spotify.com/track/03vCFyLTKlAXkUti7plxtN;['dangdut koplo', 'javanese dangdut', 'lagu jawa'];Pertama weruh kowe Esemmu ngeleke sak kabehane Tansah bungah rasane Iso njagong karo kowe Jebule sandingane konco dewe  Aku wes berjuang mati-matian Nanging ora pernah mbok sawang Aku wes ngarepke kowe tenanan Malah mbok gawe dolanan  ...
Gagal;Guyon Waton;DANGDUT KOPLO TERBARU 2024;https://open.spotify.com/track/0LbNvGUhiqxHYBUqhHJIUy;['dangdut', 'javanese dangdut', 'lagu jawa'];(Sidane sing menang) (Masa lalumu)  Coba mbiyen awak dhewe ra bubaran Padha-padha wegah ngerasakne kelangan Nanging kowe ra kuat kena godane wong liya Tak kira padha tresnane, ra kaya sing tak bayangke  Sidane sing menang Sing isa ngancani kowe mbendina Aku sing modal gemati Olehe mung dilarani  Isih kerep melek tekan tengah wengi Padahal wis raono sing dienteni (dienteni) Sing dienteni wis dadi siji karo wong sing dadi pilihane ...
Kudu Satset;Arry Harmoko;DANGDUT KOPLO TERBARU 2024;https://open.spotify.com/track/1Y0HqJ0WOyfUX5AvvGlQKF;['lagu jawa'];Tresno kudu diperjuangke Senajan mung nduwe opo anane (apa anane) Saben wengi ora angler turune Mbayangke urip karo kowe  Yakin, ati iki bakal nduweni Ora bakal ono sing iso ngganti (sing iso ngganti) Esem, ngguyumu ngadhemke ati Tulung, tompo tresnoku iki  Yo wis, ndang sat-set Yen pancen wis ngroso mantep Terus diperjuangke Ben iso oleh atine  Gerakane kudu cepet Ben dalane ora macet ...
Kalah 2;Woro Widowati;DANGDUT KOPLO TERBARU 2024;https://open.spotify.com/track/31YjCe7pqLWsPtBXXQqVQZ;['dangdut koplo', 'javanese dangdut', 'lagu jawa'];Ora popo, kabeh iki tak tompo Yen kuwi wes dadi keputusanmu Yen aku kudu kalah Aku bakal ngalah sak kalah-kalahe Tak trima-trimakke  Ora ono tibo sing ra loro Mung mergo kowe rung tau ngrasakke Yen aku kudu lungo Aku wis legowo Mergo kabeh iki garis Sing Kuoso  Wis pancen dalanku Kudu kuat atiku ...
Jarkoni 2;Arry Harmoko;DANGDUT KOPLO TERBARU 2024;https://open.spotify.com/track/2iOgTijjnxjtz7723Xs4sp;['lagu jawa'];Mbiyen wis tau janji Nanging malah mblenjani Mbiyen wis tau kondho Tresno ra mandang bondho Aku gelem nompo  Kowe saiki ning ngendi Ora tau ngabari Medsosku wis mbok blokiri Aku ditinggal pergi Tanpo basa basi  Opo mergo kahananku ...
Cut Off;Arry Harmoko;DANGDUT KOPLO TERBARU 2024;https://open.spotify.com/track/6ueq4MrVEcvUwe8E80SPar;['lagu jawa'];Ojo isone mung nyalah-nyalahke Aku ning kene dianggep sepele Nanging sepurane sabar ono batese Mending tak cut off wae  Hu-uh-uh  Saben wayah lambemu turah Kebak omongan sing gawe ku kelaran Pengen nutup kuping ngrungoke barang ra penting Kudu tak terimo mergo mbendino aku wis kulino  Ngrungoke dangdutan lagune Mas Arry ...
Sekti - Live;Denny Caknan;DANGDUT KOPLO TERBARU 2024;https://open.spotify.com/track/6WimdTCXBl50mmz6ClwYg1;['dangdut', 'javanese dangdut', 'lagu jawa'];Kisah teman saya Berniat baik untuk meminang kekasihnya Dibatasi oleh orang tua  Sayang, sawangen rembulan kae Sumunar, nyawang aku ro kowe Sayang, yakina wis ora suwe Sesandhingan, aku jejer ro kowe Senajan wong tuwa rung marengke  Ombak gedhe tak sebrangi Banjir bandhang tak tatagi Penting aku kowe isa dadi siji  Gunung njeblug tak jak ngopi Segara geni tak nggo nglangi Apa maneh mung ngelawan bapakmu kuwi ...
Melas;Arry Harmoko;DANGDUT KOPLO TERBARU 2024;https://open.spotify.com/track/26WgejlZUG6TxLo8djVxUp;['lagu jawa'];Rasah milih aku Nek akhire gawe tatu Rasah ono roso Nek endinge ditinggal lungo Aku wis tenanan Kowe mung guyonan Tibake mung dadi pelarian  Aku wis kapusan Tresnomu sing etok etokan Ora pernah nyongko Kowe tego gawe loro Aku wis berjuang Untukmu seorang Nanging balesanmu Nglarani atiku  Ora nyongko Ora ngiro Dadi cerito loro ...
