judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
Mosque of Love [Hidden Track];The Adams;2000s Indonesian Indie;3V4gSQ0A3Y8boeO9Xrrwey;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];Sitting here in the moss Drawing with a board Suddenly you come along You call my name like a song Oh, I'm falling to the ground  I like the way you're laughing Waving in my skull Have you ever sent me a song? Vertical Horizon Oh, I'm falling to the ground I'm falling to the ground  Walking down to the mosque Walking down to the mosque Waiting her after pray After pray, after pray, after pray Walking down to the mosque Walking down to the mosque ...
Mosque of Love;The Upstairs;2000s Indonesian Indie;5K1SqwbbzRfouB8mlpdVZ1;['indonesian indie', 'indonesian post-punk'];Sitting here in the mosque  Drawing with a bore Suddenly you come along  You call my name like a song Oh, I'm falling to the ground  I like the way you laughing  ...
Aku Lupa Aku Luka;Koil;2000s Indonesian Indie;3kBV8olpppGCIbhrh8TV6o;['classic indonesian rock', 'indonesian hardcore', 'indonesian indie', 'indonesian rock'];Dan keputusasaan menyakiti diriku sendiri Aku memacu seluruh waktu memburu jantungmu Dan semua yang kujalani dan harapkan ternyata membuat kecewa Pil pahit kegelapan akan mematikan rasa jiwa raga  Luka, luka, luka, luka Aku lupa luka, luka, luka, luka Luka, luka, luka, luka ...
Kenyataan Dalam Dunia Fantasi;Koil;2000s Indonesian Indie;2zvwxYin8bajogul1xrJR5;['classic indonesian rock', 'indonesian hardcore', 'indonesian indie', 'indonesian rock'];Nasionalisme Di negara ini kita hidup dan bekerja Di negara ini kita makan dan berbahagia Di tanah yang indah indah ini bersemilahcintamu yang abadi Di negara yang busuk ini kita tersenyum pergiKita membicarakan kenyataan dalam dunia yang tak ku mengertiKita membicarakan kepasrahan dalam spektrum yang hitam dan putih ...
Pop Kinetik;rumahsakit;2000s Indonesian Indie;4t1dsmkEqc1FtDNp0ezh6G;['indonesian indie', 'math rock'];Bunuh, bunuhlah aku Kalau kau bisa Silahkan saja  Serang, hantamlah saja Datang padaku Andai kau tahu  Akhirnya Baru kau mengerti Kalau ku bukan manusia biasa  ...
Funk The Hole;Sore;2000s Indonesian Indie;5MOsAfVwDEGSU8kfBBC8mX;['indonesian folk pop', 'indonesian indie', 'indonesian indie pop'];I would seek well I wanted you to seek and in between what's agitating to me and for now I told you so, and for now I'm all to glow  and so my doll, you were told to behold ...
Jalang;Efek Rumah Kaca;2000s Indonesian Indie;6qcvBgioxWYn1vPXJlKou3;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];Siapa yang berani bernyanyi Nanti akan dikebiri Siapa yang berani menari Nanti 'kan dieksekusi  Siapa yang berani bernyanyi Nanti akan dikebiri Siapa yang berani menari Nanti 'kan dieksekusi  Siapa yang berani bernyanyi Nanti akan dikebiri ...
Jikalau;The Adams;2000s Indonesian Indie;36YxF0N7WM32JmtXwEBM39;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];Jikalau telah datang Waktu yang dinanti Kupasti bahagiakan dirimu seorang Kuharap dikau sabar menunggu  Berilah aku waktu 'Tuk wujudkan semua Janji ini untukmu Ku 'tak akan lupa Kuharap dikau sabar menunggu  Untaian kata-kata Yang kuucapkan untukmu ...
Rocket Ship Goes By;Goodnight Electric;2000s Indonesian Indie;55kXXCCGYokhnIB1hm5qYB;['indonesian indie'];I remember when you said We have come from outside world Full of grass and only love Sleeping, eating so full of joy You are something new And suddenly appear  Am I caught in bigger picture or Am I trapped in paralyzed mind of you? When I listen to this song That's connected by its parts Stimulated trough the heart ...
Hidup Itu Indah;Naif;2000s Indonesian Indie;3XJDtP8dGjZ6RtNQ5AIWhv;['indonesian indie', 'indonesian pop', 'indonesian pop rock'];Saat kau buka mata kita dilahirkan untuk sama Saat kau telah dewasa kau kan mengerti semua Jalan hidup kita kan berbeda  Takdir itu telah ada sejak alam semesta tercipta Segala suka dan duka kan jadi sebuah cerita  Bagi anak cucu kita semua ...
Jamaica's Away;Souljah;2000s Indonesian Indie;2GEEAmaNtdLaMlqdMj0Dl1;['indonesian pop rock', 'indonesian reggae', 'indonesian ska'];Jamaica's away Away from the land that I am livin' Away from the beach that got me goin' Away from the sound that came out within  Jamaica's away And my love is somewhere between To seek love is never comin' And the music really got me missin'  Why, why do I love the music? Why does it make me dance it? Once it turns, once it plays And my feet start to sway  Why, why people think I'm crazy? Why do they say I'm losin' my way? It got me good, got my mood Not forgetting my root Ooh, it's in my ear Ooh, it's all that I hear ...
