judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
Rangkum;Polka Wars;Indie Rock Indonesia;https://open.spotify.com/track/4j9AWlGmYrQwjxvmObIzXm;['indonesian indie'];Tersingkap bila Menatap cah'ya Di dalam bahaya terjamah  Bersila diam Menuju terang Deras bulir meresapi lara  Malam musim semi Raja alam rasa Berakhir di sana Kata rangkumkan udara ...
Laki-Laki Pemalu;Efek Rumah Kaca;Indie Rock Indonesia;https://open.spotify.com/track/5WUdbehFIiTDyw1vFCljNz;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];Senja akan segera berlalu Seorang lelaki melintas menyimpan malu, huuu Menyusur langkah sang gadis yang mungil Tapak kakinya yang lelah menyisakan perih, hiii  Nanti malam 'kan ia jerat rembulan Disimpan dalam sunyi hingga esok hari Lelah berpura-pura, bersandiwara Esok pagi 'kan seperti hari ini ...
Masa-Masa;The Adams;Indie Rock Indonesia;https://open.spotify.com/track/3da9tjhBqR14I04nHHGnje;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];Kau selalu ada Untuk tertawa Tak pernah lupa Dan meskipun salah Ikuti saja Karena muda Jiwa remaja  Seiya sekata bersama-sama Seiya sekata hadapi duka Seiya sekata canda tawa Masa lalu dan sekarang 'Kan kita kenang di masa yang datang ...
Another Day;The SIGIT;Indie Rock Indonesia;https://open.spotify.com/track/06CTBs4mTFwJzlrmAvU6d0;['indonesian alternative rock', 'indonesian indie', 'indonesian rock'];These things are beautiful Don't think they're reachable Another day, another sunset Confession won't make it right All the things we do at night Another day, another mindset ...
Barat;Barasuara;Indie Rock Indonesia;https://open.spotify.com/track/52E1hEuxwAfJIUGOpYmwyV;['indonesian indie', 'indonesian indie rock'];Kami menuju barat Maut kian melambat Merah melesat (Melantakkan angkasa) Merah merona  Hey ya-ya Hey ya-ya ...
Menenggala;Mooner;Indie Rock Indonesia;https://open.spotify.com/track/12ljrhiUlBUW8xi8k7sWid;['indonesian indie', 'indonesian indie rock', 'indonesian psychedelia', 'indonesian stoner rock'];Lalalala, menenggala Demi gala, demi hala Lalalala, menenggala Demi sara, demi laba  Pulang disambut solang Tura bikin merayang Walau sudah berkanjang Rodi jadinya rawang  Jejabah usang Sudah jadi abu arang ...
Roda Gila;Kelompok Penerbang Roket;Indie Rock Indonesia;https://open.spotify.com/track/3V0yduUwPTwpNTDskCSPh2;['indonesian indie', 'indonesian indie rock', 'indonesian rock'];Kehidupan Di dunia Banyak cara terlupa Kita manusia yang punya akal pikiran  Jangan gentar Bernyali besar  Roda kencang melaju berani Melesat gila kejar cahaya ...
Mati Muda;Kelompok Penerbang Roket;Indie Rock Indonesia;https://open.spotify.com/track/3zMJiWwtg4LIXXSZ53uKAM;['indonesian indie', 'indonesian indie rock', 'indonesian rock'];Berseragam berlaga jagoan Mau jadi apa? Seperti tentara kau menyerang Dan akhirnya celaka  Mati muda ...
Fatamorgana;Polka Wars;Indie Rock Indonesia;https://open.spotify.com/track/15cki3Uuq7qYnEmilHyIHs;['indonesian indie'];Terbelah jalan, hampa tujuan Berdagang asa, reka citranya Halau cahaya Nyatanya semu, angan tersapu Alasan tak dapat belenggu Hina adanya  Ayat amunisi Jaja ilusi  Berjanji, hindari Nyata tipu dayanya Fatamorgana! Fatamorgana! ...
Kau dan Aku Menuju Ruang Hampa;Efek Rumah Kaca;Indie Rock Indonesia;https://open.spotify.com/track/0H3I8PJh0mbJ5tSRleYywg;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];Akan ke manakah aku dibawanya? Hingga saat ini menimbulkan tanya Engkau dan aku menuju ruang hampa Tak ada sesiapa hanya kita berdua  Kau belah dadaku mengganti isinya Dihisap pikiranku memori terhapus Terkunci mulutku menjeritkan pahit  Engkau dan aku menuju ruang hampa Tak ada sesiapa hanya kita berdua  Kau belah dadaku mengganti isinya ...
Cinta Melulu;Efek Rumah Kaca;Indie Rock Indonesia;https://open.spotify.com/track/1jwaf6CWAWUrbqAT5mrKrA;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];Nada-nada yang minor Lagu perselingkuhan Atas nama pasar semuanya begitu klise  Elegi patah hati Ode pengusir rindu Atas nama pasar semuanya begitu banal  Oh-oh Lagu cinta melulu ...
Just;The Adams;Indie Rock Indonesia;https://open.spotify.com/track/02jNAnlofnyylX3k8ijYCB;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];once.i feel empty, you show your face to me once.i feel thirsty, but you alwasy be there for me don't care what people say. i just gonna do my way ...
Badai;Bangkutaman;Indie Rock Indonesia;https://open.spotify.com/track/6n1qZ0NjagTsByL2hzWFj9;['indonesian folk', 'indonesian indie', 'yogyakarta indie'];Desir-desir angin yang dingin Menghantarkan bait kesunyian Di ujung sore berkabut Menghembuskan melodi yang sendu  Oh, kabut malam, samar-samarkan bayanganmu Bersama kilat gemuruh, mari lagukan sisa waktu ...
Bekerja;Jirapah;Indie Rock Indonesia;https://open.spotify.com/track/6ty0s6bs6lnzC7e1Of2ec6;['indonesian indie', 'indonesian indie rock', 'indonesian shoegaze'];Terasa muda Sesaat Ada rasa yang tertunda Selalu Ku menunggu Selamanya Menuai dalam saatnya  Tak pernah berhenti Yang pasti Tidur di saat terjaga Bahagia Ku menunggu Selamanya Menuai dalam saatnya  Mengejar ...
Sloth;Monkey to Millionaire;Indie Rock Indonesia;https://open.spotify.com/track/4JL1gr2HN41wIc2oWe9tjh;['indonesian indie'];One of these days, she'll hate me even more The truth is I've never seen an open door So how could I come back? Nah just wanna come back  There were times, when there's only nice things to say Times how love keep cracked up my head When I still try to stand (stein), and I still here to stay  Rational have been gone away for so long Logic tries to following behind all along And they never come back And they never come back  Cause what's mine... has never felt as one of my own When you came along when you came along Cause what's mine... has never felt as one of my own When you came along when you came along  When the truth is always asking me to opened your heart Breaking denials and make it apart ...
Kaca;Anomalyst;Indie Rock Indonesia;https://open.spotify.com/track/5FF5770PyTMzygAAetVzss;['indonesian indie rock'];Roda yang terus berputar Melingkar dan berjalan Tak sekalipun berhenti Untuk menghela nafas  Lelah di gegap gempita Tersesak dalam ruang Semua yang disekitarnya Terus membakar raga ...
Merah;Efek Rumah Kaca;Indie Rock Indonesia;https://open.spotify.com/track/1gapJiMx5ZOmFB0mNdIhSQ;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];Dan kita arak mereka, bandit jadi panglima Politik terlalu amis, dan kita teramat necis Slalu angkat mereka, sampah jadi pemuka Politik terlalu najis, dan kita teramat miris  Dan kita dorong mereka, badut jadi kepala Politik terlalu kaotis, dan kita teramat praktis Slalu dukung mereka, cendikia jadi pertapa Politik terlalu iblis, dan kita teramat manis  Aku akan menjadi garam di lautan mereka Aku akan menjadi kanker dalam tubuh mereka Aaahhh... Aaahhh...  Sampai kapan kau biarkan, ia tak berdaya Ditelantarkan harapan, ia kesakitan Berurai berantakan, tak karuan Lara dimana-mana  ...
20's;Mond;Indie Rock Indonesia;https://open.spotify.com/track/6FXwGkCBw2TcUeSciRQ4H6;['indonesian neo-psychedelia'];Crazy as it seems Crazy as you and me  We're living in our twenties I can't handle things alone  We cut ties to loosen up We put ties to build up  Thought he was a child With just a few problems Something green can hide For a while Thought he was a child With just a few problems Something green can hide ...
Is It The Answer;Reality Club;Indie Rock Indonesia;https://open.spotify.com/track/5dFLCZFECZMRYICtN31BMg;['indonesian indie'];I make you break You move I take Love is the answer so they say But if I went away What would you say Would it be enough to make you stay As you look to the exit I don't even know why I'd do this anymore I know there's things I should know  And I know you can't accept She's the love that I kept Scared I'll push you away ...
Thrills;Grrrl Gang;Indie Rock Indonesia;https://open.spotify.com/track/1ZJaJPoS4gDiEJetz3glPt;['indonesian indie', 'indonesian indie rock', 'yogyakarta indie'];"It was a hot summer night when we first met I was only seventeen Your name was Robin And that's all I know  I was dancing on my own in the middle of the room When I turned around and you caught my eye There was nothing else that I could really do But one thing for sure is that I wouldn't be alone  You took me to your room And you said that I was yours I called you, ""Daddy"" With your arms wrapped around my neck  ..."
Dream Grrrl;Grrrl Gang;Indie Rock Indonesia;https://open.spotify.com/track/3QUBrTX4mD1yPud2xOFRyP;['indonesian indie', 'indonesian indie rock', 'yogyakarta indie'];She, she's got a mean look Giving you death glares But she can be your dream girl She can be your dream girl  She, she's got a mean streak Losing her head at the wrong times She can be your dream girl She can be your dream girl  She's a vision of heaven and hell Let her be your dream girl She can mesmerize you with one glance Let her be your dream girl Let her be your dream girl (Dream girl) Let her be your dream girl (Dream girl)  She, she's got a mean look ...
Sintas;Tashoora;Indie Rock Indonesia;https://open.spotify.com/track/7sz6kwFjYT0asnQGei64vw;['indonesian indie'];Sempat waktu berhenti melangkah Buta mataku dan hilang arah Sirna harapku pada manusia  Dingin bergulir, mendekap getir Kembali lahir, kembali lahir  Dingin bergulir, mendekap getir Belum berakhir, belum berakhir  Lawan pandang-pandang yang merendahkan Bisikan suara yang menjatuhkan Kita harus saling menguatkan Sudahi sepi dalam perjalanan Buka satu dua lagi lembaran Kita harus saling menguat  Sebagian menaruh harapan ...
Siapa Kamu?;Zirah;Indie Rock Indonesia;https://open.spotify.com/track/6daxTVyF7Yz5fcJPeEX98h;['indonesian indie rock'];Oh, ini jiwa ingin dicari Oh, ini jiwa taratatara  Apa yang kau lakukan? Apa yang kau berikan? Apa yang kau dapatkan? Tahukah kamu?  Apa yang kau rasakan? Apa yang kau harapkan? Apa yang kau katakan? Tahukah kamu?  Oh, ini jiwa ingin dicari Oh, ini jiwa taratatara  Apa yang kau tinggikan? Apa yang kau rendahkan? Apa yang kau tengahkan? ...
The Youth;SCALLER;Indie Rock Indonesia;https://open.spotify.com/track/0ikZncbyX0HQFUn77v6xJ7;['indonesian indie'];My world is dying Before my very eyes Familiar faces Oh, so far gone  Bury all the pain that I can't stand See if someone care My world is dying  Everyone, I tell you what There's no surprises, my world is spinning For everyone, I've had enough ...
Prayer of Tempest;Sigmun;Indie Rock Indonesia;https://open.spotify.com/track/014fyvmAi94F1NUXNKiARZ;['indie psychedelic rock', 'indonesian indie', 'indonesian neo-psychedelia', 'indonesian rock'];See the color of the rain overwhelms your cover Gentle giant laid to rest as the night surrendered Tiny whistles of the trees they tried to tell me something Darkest shades of the leaves tell me what you're hiding  And all the things that we've built shan't be brought along And all the things that we've lost shall be turned to songs ...
Mirage;Chewing Sparkle;Indie Rock Indonesia;https://open.spotify.com/track/6bIQDMlSJpws1xL8eXUerk;['indonesian indie rock'];I sure I saw you on the highway Hand on the phone and picked up the line It keeps the morning in a heart wave I guess my body won't be enough to  Wake up another Day without thinking about it Fake laught tomorrow  Where are you going tonight? Will it be bitter to myself? Where are you going tonight?  Where are you going tonight? Will it be bitter to myself? Where are you going tonight?  She said i'm living in the hideway Two stars away from meeting your signs ...
Paintings/Pantings;Sajama Cut;Indie Rock Indonesia;https://open.spotify.com/track/1NwKzipXQdwRCSHmUGy25Q;['indonesian indie'];Rah! Yeah the sun it'll always shine And this picture of your behind You'll be mine for the hundredth and millionth time Again Pipe down a little Cut down the wall Tusk and a fiddle Cuss pounds to pore Fight means belittled Caisson (on) a horse I never cared Ripe are the liver Paint all the wall Bite down the little devil ...
The Sentiment;SMSR;Indie Rock Indonesia;https://open.spotify.com/track/4O5yuoPYHs1oU8ioYQTT6p;['indonesian neo-psychedelia'];When I was an infant kid They have been nurturing me Till this day and the through But past mistakes are gone The unconditioned love them to you ...
What They Do In The Summer;The Cat Police;Indie Rock Indonesia;https://open.spotify.com/track/5hk7uLXSKbNhQraDwXIhfq;['indonesian indie', 'indonesian indie rock'];Writers bring their pens to the coffee shop Telling all oh the unnecessary things Makes their coffee sweeter May the joy be with her  What they do in the summer? I only can guess, such a fun thing What happen to the lovers? They must be loving, take care of each other  She's staring at the window Reflecting her shadow Then what else you can do in this summertime? We're just making ripple We're just making ripple  What they do in the summer? I only can guess, such a fun thing What happen to the lovers? They must be loving, take care of each other  ...
Selancar;Erratic Moody;Indie Rock Indonesia;https://open.spotify.com/track/1paPwlZcB4QSKtIeDaymHR;['indonesian indie rock'];Lari di pantai, pantai di Kuta Kupanggil teman-temanku di hari itu Siap berlayar bersama paman nelayan Ku ambil selancar ke atas sana, aw ...
Lagu Lama;FLEUR!;Indie Rock Indonesia;https://open.spotify.com/track/1aPzi6BINcQAhxtVHzWixK;['indonesian indie'];Saat semua pada tempatnya Lagi-lagi kau datang bawa cerita lama Logika tak bernyawa  Hadirmu mengganggu tenangku Habis sabar ku dengar Tak ada ujungnya Janji 'tuk berbeda  Kapankah engkau sadar ku tahu semua hanya basa basi Akhirnya selalu beradu akal dengan tempramen tinggi Lagu lama! ...
