judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
Kemana Kita Hari Ini;Batas Senja;Indie galau;https://open.spotify.com/track/6RnjxKM9urwUxM8ASgbc0W;['indonesian folk'];Tiap hari begini Bangun pagi lagi Pergi dan pulang sore hari Sibuk mengejar mimpi Hingga aku lupa Diri perlu disenangi  Ada yang salah Padahal hidup t'rasa baik saja Tapi ku salah Hidup bukan soal kerja dan lelah  Ke mana kita hari ini? Sudah lama tak ha-ha-hi-hi Ceritakan lucunya dunia ...
Berdansalah, Karir Ini Tak Ada Artinya;Hindia;Indie galau;https://open.spotify.com/track/2SmKwCCSiUTjtR8I8rv6MS;['indonesian pop'];Besok, coba kau izin pulang cepat Bilang saja siapa sedang sakit Lusa, coba izin terlambat Bilang saja kau celaka sedikit  Habiskan cutimu sebelum usai I know you're scared but it's totally fine Kar'na kau bukan mesin assembly line Lihat promo liburan, babe, that's a sign  Oh, kar'na ku tahu Kalimat itu ada di ujung mulutmu Oh, kar'na kau tahu Tak mau lakukan itu seumur hidupmu  Lakukan apa yang kau mau sekarang Saat hatimu bergerak, jangan kau larang Hidup ini tak ada artinya Maka kau bebas mengarang maknanya seorang  Lakukan apa yang kau mau sekarang ...
Asing;Juicy Luicy;Indie galau;https://open.spotify.com/track/1QLZjY2AUftrVR7I3E0c4J;['indonesian pop'];Masihkah ungu muda Warna langit yang paling engkau suka? Masihkah sering lupa Di mana letaknya kausimpan kacamata?  Tanpa niat kuhafal semua Masih saja aku mengingatnya  Dahulu ku mengenalmu paling Semua tentangmu, tertawa denganmu Mengapa kini berubah asing? Tak saling menyapa, lupa ku pernah di sana  ...
Tak Di Tanganku;Juicy Luicy;Indie galau;https://open.spotify.com/track/4xmSDYn5n9Gu6mH6FSJDhf;['indonesian pop'];Malam kita sudah beda Enam jam lebih cepat bulan ku tiba Kau masih senang di luar Ku sudah tenang dikamar Cerita siapa yang dengar Rindu kita bertengkar  Terang disana cepat Disini gelap Ku masih tertidur lelap Hanya bisa berharap Engkau disana Baik baik saja  Siapa yang jadi bahu saat kau perlu Menangis terluka di payung rindu Apa ada yang bisa ambil peranku Menjaga dirimu, yang kini tak di tanganku  ...
Kembali Pulang;Suara Kayu;Indie galau;https://open.spotify.com/track/6xeqCawPZngDVqw2W2aGaR;['indonesian pop'];Sekedar berandai Menatapi diri ini Berpencar pergi 'tuk mencari Apa yang lama dicari  Pergi tanpa pamrih Pergi tanpa pamit akan Ke sana-kemari tanpa arah Serta ratusan makian  ...
terima kasih;Hal;Indie galau;https://open.spotify.com/track/0JtEuERxvGfXYcg0ALOwPu;['indonesian folk'];Terkadang sendu tak selalu merakit luka Ia juga mengisyaratkan bahagia Seperti saat itu kala kulihat dia Menggandeng tanganmu dengan penuh mesra  Kepadamu dulu aku jatuh cinta Menanam asa bisa bersama sepanjang usia Saat itu engkau di tepian kota Aku masih sendiri kau sudah jadi miliknya  Terima kasih atas segala rasa ...
Ada Selamanya;For Revenge;Indie galau;https://open.spotify.com/track/20RyUmtp32IZ52AqGH2B01;['bandung indie', 'indonesian emo', 'indonesian post-hardcore'];Untuk yang pernah ada Dan menetap di kepala Yang ku kira sementara Ternyata selamanya  Untuk yang pernah singgah Ku dengar kau telah bahagia Sudikah berbagi caranya Karena ku tak bisa  Ku hanya ingin lupa Hanya ingin lupa Karena kau pernah ada ...
Sampai Jadi Debu (Menampilkan Gardika Gigih);Banda Neira;Indie galau;https://open.spotify.com/track/0ROj512WvJ1eqeELd7MEdJ;['indonesian folk pop', 'indonesian indie', 'indonesian pop'];Badai Tuan telah berlalu Salahkah ku menuntut mesra? Tiap pagi menjelang Kau di sampingku Ku aman ada bersamamu  Selamanya Sampai kita tua ...
Kau Rumahku;raissa anggiani;Indie galau;https://open.spotify.com/track/7nQoDLkzCcoIpKPQt3eCdN;['indonesian lo-fi pop', 'indonesian pop'];Bagaikan sungai yang tak punya malu Mengalir meskipun terancam surut Lalu kakimu melangkah ke rumahku Setengah melirik, mencoba rayu  Apa yang kauinginkan Dari senyumku, ya Tuan?  Gemar s'kali kaulukiskan bintang untukku Sungguh lihai tanganmu menata kembali hati Yang hampir mati 'Kan kuletakkan hangat di tengah dekap kita  Jangan biarkan ku pulang Ke rumah yang bukan engkau  ...
April;Fiersa Besari;Indie galau;https://open.spotify.com/track/3IesVVqYxCsRCsz5OCmC7q;['bandung indie', 'indonesian folk pop', 'indonesian indie', 'indonesian pop', 'indonesian pop punk'];Coba tanya hatimu sekali lagi Sebelum engkau benar-benar pergi Masih kah ada aku di dalamnya? Karena hatiku masih menyimpanmu  Kisah kita memang baru sebentar Namun kesan terukir sangat indah Ku memang bukan manusia sempurna Tapi tak pernah berhenti mencoba  Membuatmu tersenyum Walau tak pernah berbalas Bahagiamu juga bahagiaku  Saat kau terlalu rapuh Pundak siapa yang tersandar? Tangan siapa yang tak melepas? ...
Yang Patah Tumbuh, Yang Hilang Berganti;Banda Neira;Indie galau;https://open.spotify.com/track/6Rd4ep779v8CjlFVhaHrNX;['indonesian folk pop', 'indonesian indie', 'indonesian pop'];Jatuh dan tersungkur di tanah aku Berselimut debu sekujur tubuhku Panas dan menyengat Rebah dan berkarat  Yang... Yang patah tumbuh, yang hilang berganti Yang hancur lebur akan terobati Yang sia-sia akan jadi makna Yang terus berulang suatu saat henti Yang pernah jatuh 'kan berdiri lagi Yang patah tumbuh, yang hilang berganti  ...
Pulang;Float;Indie galau;https://open.spotify.com/track/5Ge3e6dV4wsae8lDQQq8PY;['indonesian folk', 'indonesian indie'];Dan lalu Rasa itu tak mungkin lagi kini Tersimpan di hati Bawa aku pulang, rindu Bersamamu  Dan lalu Air mata tak mungkin lagi kini Bicara tentang rasa Bawa aku pulang, rindu Segera ...
I Love You but I'm Letting Go;Pamungkas;Indie galau;https://open.spotify.com/track/01beCqR9wsVnwzkAJZyTqq;['indonesian pop', 'indonesian singer-songwriter'];Hmm, no  Sunday night after a rainy day I delete all your pictures I walk away from you  Nights are the hardest But I'll be okay If we are meant to be Hey, we'll find our way But now, let it be  'Cause you know what they say If you love somebody Gotta set them free ...
Tiga Pagi;Fletch;Indie galau;https://open.spotify.com/track/5rvG9HP6uIoYwlC5kOvCtL;['indonesian folk', 'indonesian indie'];Dalam diam Ada luka Yang tertawa riang  Dan Hening yang menangis Terlalu dalam  Dalam diam Ada luka ...
Semoga, Ya;Nosstress;Indie galau;https://open.spotify.com/track/6wHnwqvtNdQicSPTTkYRQN;['indonesian folk', 'indonesian folk pop', 'indonesian indie'];Semoga, ya, hari ini Lebih baik dari hari kemarin Yang lewat begitu saja Tanpa lakukan apa-apa  Semoga, ya, pagi ini Lebih cerah dari pagi kemarin Mungkin bisa bangun lebih dini 'Tuk bergegas siapkan diri  ...
Garis Terdepan;Fiersa Besari;Indie galau;https://open.spotify.com/track/4JozU4Ud30FGyDYzoUKasI;['bandung indie', 'indonesian folk pop', 'indonesian indie', 'indonesian pop', 'indonesian pop punk'];Bilur makin terhampar Dalam rangkuman asa Kalimat hilang makna Logika tak berdaya  Di tepian nestapa Hasrat terbungkam sunyi Entah aku pengecut Atau kau tidak peka  Ku mendambakanmu, mendambakanku  ...
Lara;Dialog Senja;Indie galau;https://open.spotify.com/track/46JZfTdDzyiMlMZKqku2Qn;['indonesian folk', 'indonesian indie'];Ketika senja datang Ku merasa setengah diriku menghilang Bagaikan tak berdosa Kau hancurkan rasa yang selama ini kutanam  Saat semuanya telah pergi Bayangmu kembali mengisi Entah apa yang kau mau Ku tak berhak lagi 'tuk mengungkit kembali  Menghapus tinta yang pernah kau lukis di kanvas hatiku Merobek semua bayangan yang tampak di relung sukmaku ...
Seperti Dia;Nosstress;Indie galau;https://open.spotify.com/track/5ChhnMBhQIKtQXe7fL3yQh;['indonesian folk', 'indonesian folk pop', 'indonesian indie'];Hujan kini sering tak kunjung turun Walau sudah musimnya Rindu sejukmu sudah terasa Sabar pun diuji di kala panas menerjang  Dan di saat kau turun seperti marah Badan ini mulai terendam dan dingin Tak ada tempat untukmu mengalir ...
