judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
"Zona Nyaman (From ""Filosofi Kopi 2: Ben & Jody"")";Fourtwnty;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/4lfAvFv8roumWVKXhHF8uN;['indonesian folk', 'indonesian indie', 'indonesian pop'];Pagi ke pagi, ku terjebak di dalam ambisi Seperti orang-orang berdasi yang gila materi Rasa bosan membukakan jalan mencari peran Keluarlah dari zona nyaman  Sembilu yang dulu Biarlah berlalu Bekerja bersama hati Kita ini insan, bukan seekor sapi  Sembilu yang dulu Biarlah membiru Berkarya bersama hati  Waktu ke waktu, perlahan kurakit egoku Merangkul orang-orang yang mulai sejiwa denganku ...
Celengan Rindu;Fiersa Besari;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/19JvKc2f3ZNblfBSDMDwUF;['bandung indie', 'indonesian folk pop', 'indonesian indie', 'indonesian pop', 'indonesian pop punk'];Aku kesal dengan jarak Yang sering memisahkan kita Hingga aku hanya bisa Berbincang dengamu di-Whatsapp  Aku kesal dengan waktu Yang tak pernah berhenti bergerak Barang sejenak Agar aku bisa menikmati tawamu  Inginku berdiri di sebelahmu Menggenggam erat jari-jarimu Mendengarkan lagu Sheila on Seven Seperti waktu itu Saat kau di sisiku  Dan tunggulah aku di sana Memecahkan celengan rinduku ...
Secukupnya;Hindia;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5;['indonesian pop'];Kapan terakhir kali kamu dapat tertidur tenang? (Renggang) 'Tak perlu memikirkan tentang apa yang akan datang Di esok hari Tubuh yang berpatah hati Bergantung pada gaji Berlomba jadi asri Mengais validasi  Dan akupun terhadir Seakan paling mahir Menenangkan dirimu yang merasa terpinggirkan dunia 'Tak pernah adil  Kita semua gagal Angkat minumanmu Bersedih bersama-sama (Aa-aa-aa-aa- aa) ...
Monolog;Pamungkas;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/77vx7sGjdqwdnQL968t8oY;['indonesian pop', 'indonesian singer-songwriter'];Gelap di dalam tanya Menyembunyikan rahasianya Letih, kehabisan kata Dan kita pada akhirnya diam  Bunga di bulan sepi Jatuh terdampar, tersasar  Alasan masih bersama ...
Berikanlah Senyummu;ROFA;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/3w2eRM1eddsHdourYxNuhk;['lagu melayu'];Melihat tipis senyummu Dan binar bola matamu Bermekaran bunga di taman sedap dipandang  Hidup memang sarang tantangan Tak mungkin dihindarkan Dukungan dan doamu membuat terasa ringan  Seringlah tersenyum, Cinta Hapus gelap, terbitlah cahaya Berikan senyummu, Sayang Pelita saat malam kelam Sabar menunggu pagi Sembari menyempurkan mimpi ...
Aku Tenang;Fourtwnty;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/2tO8xKwSF82hUZp0sOMLM6;['indonesian folk', 'indonesian indie', 'indonesian pop'];Denganmu tenang Tak terfikir dunia ini Karnamu tenang Semua hayal, seakan kenyataan Berlari lari ditaman mimpiku Imajinasi t'lah menghanyutkanku Mimpiku sempurna tak seperti orang biasa ...
bitterlove;Ardhito Pramono;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/74OLXYsvpfmSgPCMMi898K;['indonesian indie', 'indonesian jazz', 'indonesian pop', 'jazz pop'];There is bitter in everyday But then I feel it That you would be the only one Well sometimes, it doesn't have to be so sure The sweetest love can be so hard to find  We'll be better, in every way But, then I would go to be in other space Sometimes, the bitter of love can be so good It's like a coffee with a rainbow's mood  Sometimes you feel off, but sometimes you're feeling right ...
Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan;Fiersa Besari;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/5sgRYOTpFZRROlndD460KI;['bandung indie', 'indonesian folk pop', 'indonesian indie', 'indonesian pop', 'indonesian pop punk'];Sandarkan lelahmu, dan ceritakan Tentang apa pun, aku mendengarkan Jangan pernah kau merasa sendiri Tengoklah aku yang tak pernah pergi  Bagiku, kau tetap yang terbaik Entah beratmu turun atau naik  Kadang kala tak mengapa Untuk tak baik-baik saja Kita hanyalah manusia Wajar jika tak sempurna  Saat kau merasa gundah Lihat hatimu, percayalah Segala sesuatu yang pelik Bisa diringankan dengan peluk  ...
Sudah - Story of Kale - Original Motion Picture Soundtrack;Ardhito Pramono;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/5QGdWvXwXMK2Zx6eKagyue;['indonesian indie', 'indonesian jazz', 'indonesian pop', 'jazz pop'];Sudah Sudahi semua bicara Ku ingin segera berdua Dan pagi menjelang Melahirkan mentari pagi, dan...  Sudah Sudahi semua prasangka Dunia, berputarlah saja Rekam peristiwa Yang takkan terulangi lagi, dan... ...
Begitu Indah;ROFA;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/7HN1DimowJFC8vAUchngVO;['lagu melayu'];Begitu indah Begitu syahdu Di bawah pepohonan Angin siang bertiup  Begitu segar Senyum merekahmu Sesegar kehijauan Daun-daun yang semalam Dibasuh gerimis ...
