judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
Terima Kasih;Rebellion Rose;punk indo;https://open.spotify.com/track/2YWv46SKOl0mrjfQpJ3Y7V;['indonesian punk', 'yogyakarta indie'];Tak pernah kulupakan walau kau jauh di sana Tak pernah berhenti doa mengalir bagimu Meskipun tidur di jalanan, belum lulus, dan pengangguran Tapi ku yakin suatu saat 'kan membanggakanmu  Maafkan aku yang belum bisa bahagiakanmu Belum mampu menjadi seperti yang kaumau Maafkan bila aku pernah buatmu kecewa Mohon maafku hanyalah bagimu  Tak pernah kulupakan walau kau jauh di sana Tak pernah berhenti doa mengalir bagimu Meskipun tidur di jalanan, belum lulus, dan pengangguran Tapi ku yakin suatu saat 'kan membanggakanmu ...
Sehat Selalu Sodaraku;Rebellion Rose;punk indo;https://open.spotify.com/track/2J4mjhS47Mzj01WauAYwVd;['indonesian punk', 'yogyakarta indie'];Berjumpa lagi, hei sodaraku Melepas rindu kita Bernyanyi lantang merdeka Sehat selalu, sodaraku  Malam Minggu di jalan Satu barisan ke depan Bergerak serentak Hari ini milik kita  Berdiri hadang truk yang melintas Atribut kebanggaan Tuak nomor dua Yang penting kita bersama  Bersama-sama berkumpul lagi Gila dan lepas kendali Angkat yang terjatuh Damai tanpa perusuh  Siapa itu bawa bendera Gagah dan mempesona Selamat berdansa Kita bakar suasana Dan bersiap  Jawa Timur, Tengah dan Barat ...
Aku, Kamu Dan Samudra;Rebellion Rose;punk indo;https://open.spotify.com/track/7lhy2horHMmvuO77iQEqMK;['indonesian punk', 'yogyakarta indie'];Senyum kecil mentari cerah menyapaku Di tepi pantai, ku menunggumu Sapa kicau burung tak lelah bernyanyi merdu Bernyanyi balada kau dan aku  Tanpa ragu, langkahku besar dan bermakna Di tanah penuh harapan kita Percayalah, Sayang, ku akan kembali pulang Jaga bangkuku di sebelahmu  Deru birunya ombak, tempat kita berjuang Melawan deras badai, luka problema Tak kenal siang dan malam, kita tak terkalahkan Hari ini hari milik kita  ...
Kekasih Tolol;SUPERIOTS;punk indo;https://open.spotify.com/track/7Mqwp47uBjxdAzQusKBGgm;['bogor indie', 'indonesian punk'];Masih terngiang teriakanmu di sini Saat kau berada di sini Semua karya yang kini kita miliki Tak lepas dari dirimu  Tapi kini kenyataan telah berubah Kau tak pernah ada waktumu Kau berubah karena kekasih tololmu Semua sikapmu berubah  Kau bodoh, kawan, hanya karena dia Kau bohongi kawan-kawanmu Kau bodoh, kawan, hanya karena dia Kau menjadi penghianat ...
Sampai Nanti;Threesixty Skatepunk;punk indo;https://open.spotify.com/track/1ICnFXNX2sUNo4R20LmjK0;['indonesian pop punk', 'indonesian punk'];Dimana kan kusimpan semua harapan ini Di saat kutemui jalan yang tak bertepi Seiring redup hati selimuti senyummu Tak mampu ku bergerak di sudut sempit ini  Jadilah pelita di kala redup hatimu Di saat tak mampu lagi diriku terangi gelapmu seperti dulu Teruslah melangkah walau kini ku tak berjalan di sampingmu Hingga kau pun berlabuh di akhir ujung jalanmu  Sampai nanti ...
Bulan & Ksatria;Superman Is Dead;punk indo;https://open.spotify.com/track/2Iw7F9BZgi0oGuu6kDumlU;['bali indie', 'indonesian pop punk', 'indonesian rock'];Jejak dendam perih meraksasa di angkasa Akan cinta yang besar dan terhalang durjana Manusia melacurkan diri di istana Namun tak demikian dengan bulan ksatria  Kekuatan cinta 'kan beri dia mahkota Bulan merana jingga hapus air matamu Ksatria datang dengan bendera tanpa pedang Di detik ini cinta adalah kebenaran  Tinggi menjulang menembus peradaban Melewati waktu melawan pembenaran Dan kini bulan menantikan gemilang Tangis, air matanya telah hilang  Derap kuda ksatria gagah dekati surga Walau neraka berjanji 'tuk menghabisinya Di pintu istana bulan merajah hatinya ...
Hilang Harapan;Stand Here Alone;punk indo;https://open.spotify.com/track/1J9Osz5GGXCkJlx3LUVPVp;['indonesian pop punk'];Sebelum gelap kita tertawa Berjanji setia sampai ujung masa Meski kau dan aku jauh di sana Ingat janji kita untuk selamanya  Hilang harapan Saat kau katakan semua telah usai Kau menemukan Yang baru kini aku kau tinggalkan  Meski sendiri aku 'kan bertahan Memegang janji yang kita ucapkan Berat rasanya hatiku berkata Semoga bahagia engkau dengannya  Selama mataku bisa menatap Kukenang kau sebagai memori kelam Ingin rasanya hatiku berkata Ingat janji dulu kita bersama ...
Ingin Hilang Ingatan;Rocket Rockers;punk indo;https://open.spotify.com/track/2dPE3VkQ62Ob5rRFi2hdOs;['bandung indie', 'indonesian indie', 'indonesian pop punk', 'indonesian rock'];Menghilanglah dari kehidupanku Enyahlah dari hati yang t'lah hancur Kehadiran sosokmu kian menyiksaku Biarkan di sini ku menyendiri  Pergilah bersamanya di sana Dengan dia yang ada segalanya Bersenang-senanglah sepuasnya Biarkan di sini ku menyendiri  Terlintas keinginan 'tuk dapat Hilang ingatan agar semua terlupakan Dan ku berlari sekencang-kencangnya 'Tuk melupakanmu yang t'lah berpaling (yang t'lah berpaling)  ...
Sebuah Rahasia;Pee Wee Gaskins;punk indo;https://open.spotify.com/track/60vGmExx06NNFDuoM3itAd;['indonesian emo', 'indonesian indie', 'indonesian pop punk'];Beranjak dan berjalan ke depan Basuh air mata dan cerita Saatnya melupakan  Jam berhenti di dua belas Kuhabiskan gelas demi gelas Membuat pahit sisa yang manis Sampai akhirnya kulupa  Dan kau percaya tak ada yang lebih baik dari ini Apanya yang bahagia dan kutertawa Tak akan ada cerita dalam sebuah rahasia  Lupakan saja dan jangan pernah kau kembali di sini Keringkan semua luka (Pergilah saja) Berlarilah karena kau akan kulupakan  Berhenti dan ingatlah sejenak Coba tetap berdiri tegak Dan membakar semua kenangmu  ...
Biarlah;Killing Me Inside;punk indo;https://open.spotify.com/track/4cH4D3i1obaD4FFLTFJVkC;['bandung indie', 'indonesian emo', 'indonesian pop punk', 'indonesian rock'];Semua yang berlalu Telah menjadi kenangan Dan seakan kulupakan Karena 'ku tak sejalan  Dan tak mungkin kubertahan Meski telah kucoba Semuanya tak berguna Terbuang sia-sia  Dirimu di hatiku ...
